intent,patterns,category
payment_issue,I need help solving issues with payments,PAYMENT
payment_issue,I need assistance solving payment issues,PAYMENT
payment_issue,help me to report an issue with payments,PAYMENT
payment_issue,could you help me to report an issue with payment?,PAYMENT
payment_issue,is it possible to report a payment issue?,PAYMENT
payment_issue,I want help solving issues with payments,PAYMENT
payment_issue,could you help me report payment issues?,PAYMENT
payment_issue,where could I report an issue with payments?,PAYMENT
payment_issue,can you help me solving an issue with payment?,PAYMENT
payment_issue,issue with payments,PAYMENT
payment_issue,help me to solve issues with payment,PAYMENT
payment_issue,help solving a payment issue,PAYMENT
payment_issue,I don't know how I could report payment issues,PAYMENT
payment_issue,help to solve payment issues,PAYMENT
payment_issue,I need help to solve a payment issue,PAYMENT
payment_issue,I don't know how I can report a payment issue,PAYMENT
payment_issue,can you help me solve issues with payment?,PAYMENT
payment_issue,I am trying to report payment issues,PAYMENT
payment_issue,I want assistance to solve payment issues,PAYMENT
payment_issue,help me report issues with payment,PAYMENT
payment_issue,I don't know how I can report an issue with payments,PAYMENT
payment_issue,help me to report a payment issue,PAYMENT
payment_issue,I have to report a payment issue,PAYMENT
payment_issue,I am trying to report issues with payment,PAYMENT
payment_issue,can you help me to solve issues with payment?,PAYMENT
payment_issue,help me solving issues with payments,PAYMENT
place_order,place order,ORDER
place_order,I don't know how I can make a purchase,ORDER
place_order,what do I have to do to buy something?,ORDER
place_order,help me to make a purchase,ORDER
place_order,help buying a few of your item,ORDER
place_order,help me buy several items,ORDER
place_order,I do not know what I need to do to buy several items,ORDER
place_order,where to buy some of your item?,ORDER
place_order,assistance buying some items,ORDER
place_order,help me buy several of your item,ORDER
place_order,where can I make an order?,ORDER
place_order,I do not know how I can buy something,ORDER
place_order,I don't know how I can buy several of your item,ORDER
place_order,can you help me to make a purchase?,ORDER
place_order,where do I buy several items?,ORDER
place_order,buy item,ORDER
place_order,I do not know how to buy a few of your item,ORDER
place_order,assistance making an order,ORDER
place_order,would it be possible to buy several items?,ORDER
place_order,I don't know what I have to do to buy a few of your item,ORDER
place_order,can you help me to buy something?,ORDER
place_order,where could I buy several items?,ORDER
place_order,help me buying some of your item,ORDER
place_order,I do not know how to buy several of your item,ORDER
place_order,I need help to buy several of your item,ORDER
place_order,I have to buy some of your item,ORDER
place_order,I do not know what to do to buy several items,ORDER
place_order,could you help me buying some items?,ORDER
place_order,I don't know how to buy a few of your item,ORDER
place_order,I need assistance buying several of your item,ORDER
place_order,help me to buy an item,ORDER
recover_password,can you tell me more about a forgotten password?,ACCOUNT
recover_password,where could I get information about forgotten passwords?,ACCOUNT
recover_password,I want to know about forgotten passwords,ACCOUNT
recover_password,I try to reset my pwd,ACCOUNT
recover_password,what do I have to do to recover my password?,ACCOUNT
recover_password,I have a problem with a forgotten password,ACCOUNT
recover_password,give me information about my password retrieval,ACCOUNT
recover_password,I don't know how I could recover my password,ACCOUNT
recover_password,can you tell me about my key recovery?,ACCOUNT
recover_password,i cannot remembre the pwd of my account i wanna reset it,ACCOUNT
recover_password,how could I find information about a forgotten password?,ACCOUNT
recover_password,i cannot remember my account pwd i need help to restore it,ACCOUNT
recover_password,how to recover my password?,ACCOUNT
recover_password,I can't recover my password,ACCOUNT
recover_password,I want help restoring my account key,ACCOUNT
recover_password,need assistance to retrieve my user account pin,ACCOUNT
recover_password,can ya tell me more about a pin code recovery,ACCOUNT
recover_password,I try to recover my password,ACCOUNT
recover_password,what do I need to do to recover my password?,ACCOUNT
recover_password,I am looking for information about a forgotten password,ACCOUNT
registration_problems,need help to report a registration error,ACCOUNT
registration_problems,help me report registration issues,ACCOUNT
registration_problems,I want assistance reporting registration issues,ACCOUNT
registration_problems,report issue with registration,ACCOUNT
registration_problems,i cannot notify of a registration error,ACCOUNT
registration_problems,I would like to report registration issues,ACCOUNT
registration_problems,can you help me to report a registration issue?,ACCOUNT
registration_problems,there are issues with the sxignup,ACCOUNT
registration_problems,could I report a registration issue?,ACCOUNT
registration_problems,how do I report a signup error?,ACCOUNT
registration_problems,could you help me reporting registration issues?,ACCOUNT
registration_problems,informing of problems with sign-up,ACCOUNT
registration_problems,I have issues registering,ACCOUNT
registration_problems,could I report registration issues?,ACCOUNT
registration_problems,help to report registration issues,ACCOUNT
registration_problems,I need to report fucking registration issues,ACCOUNT
registration_problems,could uhelp me inform of a registration error,ACCOUNT
registration_problems,what do I have to do to report a registration issue?,ACCOUNT
registration_problems,what do i need to do to informof sign-up issues,ACCOUNT
registration_problems,need help reporting a sign-up  problem,ACCOUNT
registration_problems,I don't know how to report registration issues,ACCOUNT
registration_problems,I need assistance regarding our sign-up,ACCOUNT
registration_problems,i need assistance notifying of sign-up errors,ACCOUNT
registration_problems,I need assistance to report sign-up issues,ACCOUNT
registration_problems,I do not know how I could report registration issues,ACCOUNT
registration_problems,I can't report registration issues,ACCOUNT
registration_problems,i cannot sign up help me report sign-up problems,ACCOUNT
review,I want assistance to leave a review for your company,FEEDBACK
review,where can I leave a review for your services?,FEEDBACK
review,could you help me to submit some feedback?,FEEDBACK
review,help submitting some feedback for your services,FEEDBACK
review,help me leave a review,FEEDBACK
review,help me submit some feedback for your services,FEEDBACK
review,can I submit some feedback for your services?,FEEDBACK
review,I want help leaving a review for your company,FEEDBACK
review,I have to leave a review for a service,FEEDBACK
review,would it be possible to leave a review for your services?,FEEDBACK
review,I don't know what to do to submit some feedback,FEEDBACK
review,assistance submitting some feedback for your services,FEEDBACK
review,I need help leaving a review for your company,FEEDBACK
review,do you have an e-mail to submit a review?,FEEDBACK
review,how do I submit some feedback for your company?,FEEDBACK
review,I am calling to submit some feedback for your company,FEEDBACK
review,where can I submit some feedback for your company?,FEEDBACK
review,is it possible to submit some feedback for your company?,FEEDBACK
review,help me leaving a review for your company,FEEDBACK
review,what do I need to do to submit some feedback for a service?,FEEDBACK
review,how can I submit some feedback?,FEEDBACK
review,I am trying to submit some feedback,FEEDBACK
review,how do I leave a review for a service?,FEEDBACK
review,can you help me leave a review for your services?,FEEDBACK
review,could you help me leave a review for your company?,FEEDBACK
review,could you help me to submit some feedback for your company?,FEEDBACK
review,I have to submit some feedback,FEEDBACK
review,can you help me to leave a review for a service?,FEEDBACK
review,how can I leave a review?,FEEDBACK
review,I need help to leave a review for your services,FEEDBACK
review,I have to submit some feedback for your company,FEEDBACK
review,I don't know what I have to do to submit some feedback,FEEDBACK
set_up_shipping_address,I don't know how I could set a new shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,why I cannot set a different shipping address valid up,SHIPPING_ADDRESS
set_up_shipping_address,can you help me setting up a different shipping address?,SHIPPING_ADDRESS
set_up_shipping_address,why I can't set a new shipping address valid up,SHIPPING_ADDRESS
set_up_shipping_address,can I set a different shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,I want assistance setting another shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,help me to set another shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,where to set a different shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,can you help me to set another shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,I have got to set a new shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,would it be possible to set up a new shipping address?,SHIPPING_ADDRESS
set_up_shipping_address,my new shipping address isn't valid,SHIPPING_ADDRESS
set_up_shipping_address,set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,set a different shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,can I set up a new shipping address?,SHIPPING_ADDRESS
set_up_shipping_address,could you help me setting a different shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,where do I set a new shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,set up a different shipping address,SHIPPING_ADDRESS
set_up_shipping_address,I have to set a new shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,I want assistance to set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,I need assistance setting up a different shipping address,SHIPPING_ADDRESS
set_up_shipping_address,help to set up a new shipping address,SHIPPING_ADDRESS
set_up_shipping_address,I don't know how I could set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,how do I set another shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,how to set a different shipping address up?,SHIPPING_ADDRESS
set_up_shipping_address,I have got to set another shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,help me set another shipping address up,SHIPPING_ADDRESS
set_up_shipping_address,help me to set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,I don't know how I can set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,how can I set up a different shipping address?,SHIPPING_ADDRESS
set_up_shipping_address,I do not know how to set up another shipping address,SHIPPING_ADDRESS
set_up_shipping_address,how can I set another shipping address up?,SHIPPING_ADDRESS
switch_account,I need assistance switching to another account,ACCOUNT
switch_account,I don't know what I need to do to switch user,ACCOUNT
switch_account,I do not know what I need to do to switch user,ACCOUNT
switch_account,i do not know how i can change to a new profile,ACCOUNT
switch_account,I need to switch to another account,ACCOUNT
switch_account,I am trying to switch user,ACCOUNT
switch_account,I need help to use another account,ACCOUNT
switch_account,I have to switch user,ACCOUNT
switch_account,"I do not need this user,how to change to my new one?",ACCOUNT
switch_account,I do not know what to do to change to a new profile,ACCOUNT
switch_account,I need assistance to change to a new user account,ACCOUNT
switch_account,help changing to my new user account,ACCOUNT
switch_account,can you help me to use another account?,ACCOUNT
switch_account,i  cant switch to another user profile,ACCOUNT
switch_account,want assistance changing to a different profile,ACCOUNT
switch_account,I need to switch to my new user account,ACCOUNT
switch_account,where can I switch user?,ACCOUNT
switch_account,assistance to switch to a new uxer account,ACCOUNT
switch_account,i need assistance changing to a different user account,ACCOUNT
switch_account,I can't change to a new fucking user account,ACCOUNT
switch_account,I don't know what to do to switch to another account,ACCOUNT
switch_account,"I no longer use this account, I try to change to my new one",ACCOUNT
switch_account,use another account,ACCOUNT
switch_account,need assistance using a new user account,ACCOUNT
switch_account,I do not know what to do to switch to another account,ACCOUNT
switch_account,help me switching to another account,ACCOUNT
switch_account,how to switch user?,ACCOUNT
switch_account,help me to change to a new profile,ACCOUNT
switch_account,is it possible to switch to a new user profile?,ACCOUNT
switch_account,where do I switch to another account?,ACCOUNT
switch_account,i dont use these profile help changing to my other one,ACCOUNT
switch_account,help using another user profile,ACCOUNT
switch_account,need help to use a different profile,ACCOUNT
switch_account,I do not know how to switch to another account,ACCOUNT
switch_account,where can I switch to another account?,ACCOUNT
switch_account,i have to use naother user profile,ACCOUNT
track_order,is it possible to track my order?,ORDER
track_order,help checking the status of my order,ORDER
track_order,I have to track an order,ORDER
track_order,how do I track the last order?,ORDER
track_order,I try to track an order,ORDER
track_order,help tracking my order,ORDER
track_order,I do not know how I can track an order,ORDER
track_order,how can I check the status of my order?,ORDER
track_order,I need to track my last order,ORDER
track_order,I have got to track the last order,ORDER
track_order,would it be possible to track my last order?,ORDER
track_order,check the status of my order,ORDER
track_order,I need to track my order,ORDER
track_order,I want to track an order,ORDER
track_order,ETA of order,ORDER
track_order,what do I need to do to track my order?,ORDER
track_order,when will my order arrive,ORDER
track_order,could you help me to check the status of my order?,ORDER
track_order,can you help me to track the last order?,ORDER
track_order,I would like to track an order,ORDER
track_order,I want help to check the status of my order,ORDER
track_order,I don't know how I can track my last order,ORDER
track_order,I need assistance checking my order ETA,ORDER
track_order,I cannot check the status of my order,ORDER
track_order,could I check the status of my order?,ORDER
track_order,I don't know what to do to track my last order,ORDER
track_order,where could I track the last order?,ORDER
track_order,I need to check my order ETA,ORDER
track_order,I want assistance tracking the last order,ORDER
track_order,could I track the last order?,ORDER
track_order,checking ETA of order,ORDER
track_refund,assistance to check the status of the refund,REFUND
track_refund,could I check the status of my refund?,REFUND
track_refund,what do I have to do to check the refund status?,REFUND
track_refund,I can't check if there is anything new on my refund,REFUND
track_refund,help me to check the status of my refund,REFUND
track_refund,could you show me the refund status?,REFUND
track_refund,I don't know how I can check the refund status,REFUND
track_refund,assistance to check if there is any updates on my refund,REFUND
track_refund,would it be possible to check the status of the refund?,REFUND
track_refund,help me check my refund status,REFUND
track_refund,I want help checking if there is anything new on my refund,REFUND
track_refund,how could I check my refund status?,REFUND
track_refund,I need assistance to check my refund status,REFUND
track_refund,how can I check the status of my refund?,REFUND
track_refund,I want assistance checking my refund status,REFUND
track_refund,help checking if there is anything wrong with my refund,REFUND
track_refund,how can I check the refund status?,REFUND
track_refund,I would like to check the refund status,REFUND
track_refund,I try to check my refund status,REFUND
track_refund,I do not know what to do to track the refund,REFUND
track_refund,I need help checking if there is any updates on my refund,REFUND
track_refund,I want assistance checking the status of my refund,REFUND
track_refund,I do not know how I could check the status of my refund,REFUND
track_refund,I am trying to check the status of my refund,REFUND
track_refund,help checking the refund status,REFUND
track_refund,will you show me my refund status?,REFUND
track_refund,help to track the refund,REFUND
track_refund,I am trying to track the refund,REFUND
